Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
231,Tatsugiri ex,SSP,142,Basic Pokémon,Pokémon ex,Tera(Stellar),,160.0,Dragon,,,1.0,Surprise Pump,{R}{W},100,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
231,Tatsugiri ex,SSP,142,Basic Pokémon,Pokémon ex,Tera(Stellar),,160.0,Dragon,,,1.0,Cinnabar Lure,{R}{W}{D},,Look at the top 10 cards of your deck. You may put any number of Pokémon you find there onto your Bench. Shuffle the other cards back into your deck.
232,Slaking ex,SSP,147,Stage 2 Pokémon,Pokémon ex,,Vigoroth,340.0,{C},{F},,4.0,[Ability] Born to Slack,,,"If your opponent has no Pokémon {ex} or Pokémon {V} in play, this Pokémon can’t attack."
232,Slaking ex,SSP,147,Stage 2 Pokémon,Pokémon ex,,Vigoroth,340.0,{C},{F},,4.0,Great Swing,●●,280,Discard an Energy from this Pokémon.
233,Bouffalant,SSP,151,Basic Pokémon,,,,130.0,{C},{F},,2.0,Ready to Ram,●●,40,"During your opponent’s next turn, if this Pokémon is damaged by an attack (even if this Pokémon is Knocked Out), put 6 damage counters on the Attacking Pokémon."
233,Bouffalant,SSP,151,Basic Pokémon,,,,130.0,{C},{F},,2.0,Smashing Headbutt,●●●●,150,Discard 2 Energy from this Pokémon.
234,Terapagos,SSP,161,Basic Pokémon,,,,120.0,{C},{F},,2.0,Prism Charge,●,,"Search your deck for up to 3 Basic Energy cards of different types and attach them to your Tera Pokémon in any way you like. Then, shuffle your deck."
234,Terapagos,SSP,161,Basic Pokémon,,,,120.0,{C},{F},,2.0,Hard Tackle,●●●,100,
235,Budew,PRE,4,Basic Pokémon,,,,30.0,{G},{R},,,Itchy Pollen,No cost,10,"During your opponent’s next turn, they can’t play any Item cards from their hand."
236,Leafeon ex,PRE,6,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{G},{R},,2.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
236,Leafeon ex,PRE,6,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{G},{R},,2.0,Verdant Storm,{G}●,60×,This attack does 60 damage for each Energy attached to all of your opponent’s Pokémon.
236,Leafeon ex,PRE,6,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{G},{R},,2.0,Moss Agate,{G}{R}{W},230,Heal 100 damage from each of your Benched Pokémon.
237,Cottonee,PRE,7,Basic Pokémon,,,,60.0,{G},{R},,1.0,Triple Spin,{G},10×,Flip 3 coins. This attack does 10 damage for each heads.
238,Whimsicott,PRE,8,Stage 1 Pokémon,,,Cottonee,100.0,{G},{R},,1.0,[Ability] Wafting Heal,,,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from your Active {G} Pokémon. If you healed any damage in this way, discard all Energy from that Pokémon."
238,Whimsicott,PRE,8,Stage 1 Pokémon,,,Cottonee,100.0,{G},{R},,1.0,Seed Bomb,{G},40,
239,Flareon ex,PRE,14,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{R},{W},,2.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
239,Flareon ex,PRE,14,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{R},{W},,2.0,Burning Charge,{R}●,130,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck."
239,Flareon ex,PRE,14,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{R},{W},,2.0,Carnelian,{R}{W}{L},280,"During your next turn, this Pokémon can’t use attacks."
240,Seaking,PRE,21,Stage 1 Pokémon,,,Goldeen,110.0,{W},{L},,1.0,[Ability] Festival Lead,,,"If Festival Grounds is in play, this Pokémon may use an attack it has twice. If the first attack Knocks Out your opponent’s Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon."
240,Seaking,PRE,21,Stage 1 Pokémon,,,Goldeen,110.0,{W},{L},,1.0,Rapid Draw,●,60,Draw 2 cards.
241,Vaporeon ex,PRE,23,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{W},{L},,2.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
241,Vaporeon ex,PRE,23,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{W},{L},,2.0,Severe Squall,{W}●,,This attack does 60 damage to each of your opponent’s Pokémon {ex}. This attack’s damage isn’t affected by Weakness or Resistance.
241,Vaporeon ex,PRE,23,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{W},{L},,2.0,Aquamarine,{R}{W}{L},280,"During your next turn, this Pokémon can’t use attacks."
242,Feebas,TWM,49,Basic Pokémon,,,,30.0,{W},{L},,1.0,Flail,{W},10×,This attack does 10 damage for each damage counter on this Pokémon.
243,Glaceon ex,PRE,26,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{W},{M},,1.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
243,Glaceon ex,PRE,26,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{W},{M},,1.0,Frost Bullet,{W}●,110,This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
243,Glaceon ex,PRE,26,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{W},{M},,1.0,Euclase,{G}{W}{D},,Knock Out 1 of your opponent’s Pokémon that has exactly 6 damage counters on it.
244,Jolteon ex,PRE,30,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,260.0,{L},{F},,,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
244,Jolteon ex,PRE,30,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,260.0,{L},{F},,,Flashing Spear,{L}●,60,You may discard up to 2 Basic Energy from your Benched Pokémon. This attack does 90 more damage for each card you discarded in this way.
244,Jolteon ex,PRE,30,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,260.0,{L},{F},,,Dravite,{R}{W}{L},280,"During your next turn, this Pokémon can’t use attacks."
245,Alakazam,TWM,82,Stage 2 Pokémon,,,Kadabra,140.0,{P},{D},{F},1.0,Strange Hacking,{P},,Your opponent’s Active Pokémon is now Confused. You may move any number of damage counters on your opponent’s Pokémon to their other Pokémon in any way you like.
245,Alakazam,TWM,82,Stage 2 Pokémon,,,Kadabra,140.0,{P},{D},{F},1.0,Psychic,{P},10,This attack does 50 more damage for each Energy attached to your opponent’s Active Pokémon.
246,Espeon ex,PRE,34,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{P},{D},{F},1.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
246,Espeon ex,PRE,34,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{P},{D},{F},1.0,Psych Out,{P}●●,160,Discard a random card from your opponent’s hand.
246,Espeon ex,PRE,34,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,270.0,{P},{D},{F},1.0,Amazez,{G}{P}{D},,Devolve each of your opponent’s evolved Pokémon by shuffling the highest Stage Evolution card on it into your opponent’s deck.
247,Swirlix,TWM,89,Basic Pokémon,,,,50.0,{P},{M},,1.0,[Ability] Festival Lead,,,"If Festival Grounds is in play, this Pokémon may use an attack it has twice in succession. If the first attack Knocks Out your opponent’s Active Pokémon, you may use an attack again after your opponent chooses a new Active Pokémon."
247,Swirlix,TWM,89,Basic Pokémon,,,,50.0,{P},{M},,1.0,Sneaky Placement,{P},,Put 2 damage counters on 1 of your opponent’s Pokémon.
248,Umbreon ex,PRE,60,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{D},{G},,2.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
248,Umbreon ex,PRE,60,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{D},{G},,2.0,Moon Mirage,{D}●●,160,Your opponent’s Active Pokémon is now Confused.
248,Umbreon ex,PRE,60,Stage 1 Pokémon,Pokémon ex,Tera(Stellar),Eevee,280.0,{D},{G},,2.0,Onyx,{L}{P}{D},,"Discard all Energy from this Pokémon, and take a Prize card."
249,Eevee ex,PRE,75,Basic Pokémon,Pokémon ex,Tera(Stellar),,200.0,{C},{F},,1.0,[Tera],,,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
249,Eevee ex,PRE,75,Basic Pokémon,Pokémon ex,Tera(Stellar),,200.0,{C},{F},,1.0,[Ability] Rainbow DNA,,,This Pokémon can evolve into any Pokémon {ex} that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can’t evolve during your first turn or the turn you play it.)
249,Eevee ex,PRE,75,Basic Pokémon,Pokémon ex,Tera(Stellar),,200.0,{C},{F},,1.0,Coruscating Quartz,{R}{W}{L},200,
250,Hoothoot,PRE,77,Basic Pokémon,,,,80.0,{C},{L},{F},2.0,[Ability] Insomnia,,,This Pokémon can’t be Asleep.
250,Hoothoot,PRE,77,Basic Pokémon,,,,80.0,{C},{L},{F},2.0,Tackle,●●,20,
251,Regigigas,PRE,86,Basic Pokémon,,,,160.0,{C},{F},,4.0,Jewel Breaker,●●●●,100,"If your opponent’s Active Pokémon is a Tera Pokémon, this attack does 230 more damage."
252,Caterpie,JTG,1,Basic Pokémon,,,,50.0,{G},{R},,1.0,Bug Bite,{G},20,
253,Metapod,JTG,2,Stage 1 Pokémon,,,Caterpie,90.0,{G},{R},,3.0,Harden,{G},,"During your opponent’s next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less."
254,Butterfree,JTG,3,Stage 2 Pokémon,,,Metapod,120.0,{G},{R},,1.0,Scale Hurricane,{G},60×,"Flip 4 coins. This attack does 60 damage for each heads. If at least 2 of them are heads, your opponent’s Active Pokémon is now Paralyzed."
255,Maractus,JTG,8,Basic Pokémon,,,,110.0,{G},{R},,2.0,[Ability] Exploding Needles,,,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent’s Pokémon, put 6 damage counters on the Attacking Pokémon."
255,Maractus,JTG,8,Basic Pokémon,,,,110.0,{G},{R},,2.0,Corner,●,20,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
256,Magmortar,JTG,21,Stage 1 Pokémon,,,Magmar,130.0,{R},{W},,2.0,[Ability] Magma Surge,,,"During Pokémon Checkup, put 3 more damage counters on your opponent’s Burned Pokémon."
256,Magmortar,JTG,21,Stage 1 Pokémon,,,Magmar,130.0,{R},{W},,2.0,Searing Flame,{R}{R}●,90,"Flip a coin. If heads, your opponent’s Active Pokémon is now Burned."
257,N’s Darumaka,JTG,26,Basic Pokémon,,Trainer's Pokémon（N）,,80.0,{R},{W},,2.0,Rolling Tackle,●●,20,
257,N’s Darumaka,JTG,26,Basic Pokémon,,Trainer's Pokémon（N）,,80.0,{R},{W},,2.0,Flare,{R}{R}●,50,
258,N’s Darmanitan,JTG,27,Stage 1 Pokémon,,Trainer's Pokémon（N）,N’s Darumaka,140.0,{R},{W},,3.0,Back Draft,●●,30×,This attack does 30 damage for each Basic Energy card in your opponent’s discard pile.
258,N’s Darmanitan,JTG,27,Stage 1 Pokémon,,Trainer's Pokémon（N）,N’s Darumaka,140.0,{R},{W},,3.0,Flamebody Cannon,{R}{R}●,90,"Discard all Energy from this Pokémon, and this attack also does 90 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
259,Volcanion ex,JTG,31,Basic Pokémon,Pokémon ex,,,220.0,{R},{W},,3.0,[Ability] Scalding Steam,,,"Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent’s Active Pokémon Burned."
259,Volcanion ex,JTG,31,Basic Pokémon,Pokémon ex,,,220.0,{R},{W},,3.0,Scorching Cyclone,{R}{R}●,160,Move an Energy from this Pokémon to 1 of your Benched Pokémon.
260,Lotad,JTG,35,Basic Pokémon,,,,60.0,{W},{L},,1.0,Water Gun,{W},20,
261,Lombre,JTG,36,Stage 1 Pokémon,,,Lotad,90.0,{W},{L},,1.0,Aqua Slash,{W}{W},70,"During your next turn, this Pokémon can’t use attacks."
262,Ludicolo,JTG,37,Stage 2 Pokémon,,,Lombre,140.0,{W},{L},,2.0,[Ability] Vibrant Dance,,,All of your Pokémon in play get +40 HP. The effect of Vibrant Dance doesn’t stack.
262,Ludicolo,JTG,37,Stage 2 Pokémon,,,Lombre,140.0,{W},{L},,2.0,Hydro Splash,{W}{W}●,130,
263,Wailmer,JTG,40,Basic Pokémon,,,,130.0,{W},{L},,3.0,Surf,●●●,60,
264,Wailord,JTG,41,Stage 1 Pokémon,,,Wailmer,240.0,{W},{L},,4.0,Hydro Pump,●●●●,10,This attack does 50 more damage for each {W} Energy attached to this Pokémon.
265,Iono’s Voltorb,JTG,47,Basic Pokémon,,Trainer's Pokémon（Iono）,,70.0,{L},{F},,1.0,Voltaic Chain,●●,20,This attack does 20 more damage for each {L} Energy attached to all of your Iono’s Pokémon.
266,Iono’s Electrode,JTG,48,Stage 1 Pokémon,,Trainer's Pokémon（Iono）,Iono’s Voltorb,100.0,{L},{F},,,Thump-Thump Boom,{L}{L},,"This Pokémon does 100 damage to itself. Flip a coin. If heads, your opponent’s Active Pokémon is Knocked Out."
266,Iono’s Electrode,JTG,48,Stage 1 Pokémon,,Trainer's Pokémon（Iono）,Iono’s Voltorb,100.0,{L},{F},,,Electric Ball,{L}{L}●,100,
267,N’s Joltik,JTG,49,Basic Pokémon,,Trainer's Pokémon（N）,,40.0,{L},{F},,1.0,Zapping Short,●●,30,"Before doing damage, discard all Pokémon Tools from your opponent’s Active Pokémon. If you discarded a Pokémon Tool in this way, your opponent’s Active Pokémon is now Paralyzed."
268,Iono’s Tadbulb,JTG,52,Basic Pokémon,,Trainer's Pokémon（Iono）,,60.0,{L},{F},,2.0,Tiny Charge,{L}●,30,
269,Iono’s Bellibolt ex,JTG,53,Stage 1 Pokémon,Pokémon ex,Trainer's Pokémon（Iono）,Iono’s Tadbulb,280.0,{L},{F},,2.0,[Ability] Electric Streamer,,,"As often as you like during your turn, you may attach a Basic {L} Energy card from your hand to 1 of your Iono’s Pokémon."
269,Iono’s Bellibolt ex,JTG,53,Stage 1 Pokémon,Pokémon ex,Trainer's Pokémon（Iono）,Iono’s Tadbulb,280.0,{L},{F},,2.0,Thunderous Bolt,{L}{L}{L}●,230,"During your next turn, this Pokémon can’t use attacks."
270,Iono’s Wattrel,JTG,54,Basic Pokémon,,Trainer's Pokémon（Iono）,,60.0,{L},{L},{F},1.0,Quick Attack,{L},10,"Flip a coin. If heads, this attack does 20 more damage."
271,Iono’s Kilowattrel,JTG,55,Stage 1 Pokémon,,Trainer's Pokémon（Iono）,Iono’s Wattrel,120.0,{L},{L},{F},1.0,[Ability] Flashing Draw,,,"You must discard a Basic {L} Energy from this Pokémon in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand."
271,Iono’s Kilowattrel,JTG,55,Stage 1 Pokémon,,Trainer's Pokémon（Iono）,Iono’s Wattrel,120.0,{L},{L},{F},1.0,Mach Bolt,{L}●●,70,
272,Lillie’s Clefairy ex,JTG,56,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Lillie）,,190.0,{P},{M},,1.0,[Ability] Fairy Zone,,,The Weakness of each of your opponent’s {N} Pokémon in play is now {P}. (Apply Weakness as ×2.)
272,Lillie’s Clefairy ex,JTG,56,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Lillie）,,190.0,{P},{M},,1.0,Full Moon Rondo,{P}●,20,This attack does 20 more damage for each Benched Pokémon (both yours and your opponent’s).
273,Banette,JTG,60,Stage 1 Pokémon,,,Shuppet,90.0,{P},{D},{F},1.0,Cursed Words,{P},,Your opponent chooses 3 cards from their hand and shuffles those cards into their deck.
273,Banette,JTG,60,Stage 1 Pokémon,,,Shuppet,90.0,{P},{D},{F},1.0,Spooky Shot,{P}●,70,
274,Beldum,JTG,61,Basic Pokémon,,,,60.0,{P},{D},{F},1.0,Spinning Attack,{P},10,
274,Beldum,JTG,61,Basic Pokémon,,,,60.0,{P},{D},{F},1.0,Beam,{P}{P},30,
275,Metang,JTG,62,Stage 1 Pokémon,,,Beldum,100.0,{P},{D},{F},2.0,Psypunch,{P},30,
275,Metang,JTG,62,Stage 1 Pokémon,,,Beldum,100.0,{P},{D},{F},2.0,Zen Headbutt,{P}{P},50,
276,Metagross,JTG,63,Stage 2 Pokémon,,,Metang,170.0,{P},{D},{F},3.0,Wrack Down,{P},60,
276,Metagross,JTG,63,Stage 2 Pokémon,,,Metang,170.0,{P},{D},{F},3.0,Conjoined Beams,{P}{P},130,"If Beldum and Metang are on your Bench, this attack does 150 more damage."
277,N’s Sigilyph,JTG,64,Basic Pokémon,,Trainer's Pokémon（N）,,110.0,{P},{L},{F},1.0,Psychic Sphere,{P},20,
277,N’s Sigilyph,JTG,64,Basic Pokémon,,Trainer's Pokémon（N）,,110.0,{P},{L},{F},1.0,Victory Symbol,{P}●●,,"If you use this attack when you have exactly 1 Prize card remaining, you win this game."
278,Lillie’s Cutiefly,JTG,66,Basic Pokémon,,Trainer's Pokémon（Lillie）,,30.0,{P},{M},,,Hold Still,{P},,Heal 10 damage from this Pokémon.
279,Lillie’s Ribombee,JTG,67,Stage 1 Pokémon,,Trainer's Pokémon（Lillie）,Lillie’s Cutiefly,70.0,{P},{M},,,[Ability] Inviting Wink,,,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may have your opponent reveal their hand and you put any number of Basic Pokémon you find there onto their Bench."
279,Lillie’s Ribombee,JTG,67,Stage 1 Pokémon,,Trainer's Pokémon（Lillie）,Lillie’s Cutiefly,70.0,{P},{M},,,Magical Shot,{P},50,
280,Lillie’s Comfey,JTG,68,Basic Pokémon,,Trainer's Pokémon（Lillie）,,70.0,{P},{M},,1.0,Inviting Flowers,●,,"You may search your deck for any number of Basic Lillie’s Pokémon and put them onto your Bench. Then, shuffle your deck."
280,Lillie’s Comfey,JTG,68,Basic Pokémon,,Trainer's Pokémon（Lillie）,,70.0,{P},{M},,1.0,Fade Out,{P},30,Put this Pokémon and all attached cards into your hand.
281,Swinub,JTG,77,Basic Pokémon,,,,70.0,{F},{G},,2.0,Call for Family,●,,"Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck."
281,Swinub,JTG,77,Basic Pokémon,,,,70.0,{F},{G},,2.0,Lunge Out,{F},10,
282,Piloswine,JTG,78,Stage 1 Pokémon,,,Swinub,100.0,{F},{G},,3.0,Strength,●,20,
282,Piloswine,JTG,78,Stage 1 Pokémon,,,Swinub,100.0,{F},{G},,3.0,Impaling Tusk,{F}{F},50,
283,Mamoswine ex,JTG,79,Stage 2 Pokémon,Pokémon ex,,Piloswine,340.0,{F},{G},,4.0,[Ability] Mammoth Hauler,,,"Once during your turn, you may search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
283,Mamoswine ex,JTG,79,Stage 2 Pokémon,Pokémon ex,,Piloswine,340.0,{F},{G},,4.0,Rumbling March,{F}{F},180,This attack does 40 more damage for each Stage 2 Pokémon on your Bench.
284,Larvitar,JTG,80,Basic Pokémon,,,,70.0,{F},{G},,1.0,Crunch,●●,20,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
285,Pupitar,JTG,81,Stage 1 Pokémon,,,Larvitar,90.0,{F},{G},,1.0,Take Down,●●,60,This Pokémon also does 20 damage to itself.
286,Rockruff,JTG,84,Basic Pokémon,,,,70.0,{F},{G},,1.0,Dig It Up,●,,Look at the top card of your deck. You may discard that card.
286,Rockruff,JTG,84,Basic Pokémon,,,,70.0,{F},{G},,1.0,Stampede,●●,20,
287,Lycanroc,JTG,85,Stage 1 Pokémon,,,Rockruff,120.0,{F},{G},,2.0,[Ability] Spike-Clad,,,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may attach up to 2 Spiky Energy cards from your discard pile to this Pokémon."
287,Lycanroc,JTG,85,Stage 1 Pokémon,,,Rockruff,120.0,{F},{G},,2.0,Clamping Fangs,●●●,40,This attack does 40 more damage for each damage counter on your opponent’s Active Pokémon.
288,Hop’s Silicobra,JTG,86,Basic Pokémon,,Trainer's Pokémon（Hop）,,80.0,{F},{G},,2.0,Turf Maker,●,,"Search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
288,Hop’s Silicobra,JTG,86,Basic Pokémon,,Trainer's Pokémon（Hop）,,80.0,{F},{G},,2.0,Gnaw,{F}●,20,
289,Hop’s Sandaconda,JTG,87,Stage 1 Pokémon,,Trainer's Pokémon（Hop）,Hop’s Silicobra,140.0,{F},{G},,3.0,Rumble,{F}●,30,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
289,Hop’s Sandaconda,JTG,87,Stage 1 Pokémon,,Trainer's Pokémon（Hop）,Hop’s Silicobra,140.0,{F},{G},,3.0,Break Ground,{F}●●,140,This attack also does 20 damage to each of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
290,Tyranitar,JTG,95,Stage 2 Pokémon,,,Pupitar,190.0,{D},{G},,3.0,[Ability] Daunting Gaze,,,"As long as this Pokémon is in the Active Spot, your opponent can’t play any Item cards from their hand."
290,Tyranitar,JTG,95,Stage 2 Pokémon,,,Pupitar,190.0,{D},{G},,3.0,Cracking Stomp,{D}●,150,Discard the top 2 cards of your opponent’s deck.
291,N’s Purrloin,JTG,96,Basic Pokémon,,Trainer's Pokémon（N）,,70.0,{D},{G},,1.0,Thieving Swipe,{D}●,30,"Your opponent reveals their hand, and you choose a card you find there and put it on the bottom of their deck."
292,N’s Zorua,JTG,97,Basic Pokémon,,Trainer's Pokémon（N）,,70.0,{D},{G},,1.0,Scratch,{D},20,
293,N’s Zoroark ex,JTG,98,Stage 1 Pokémon,Pokémon ex,Trainer's Pokémon（N）,N’s Zorua,280.0,{D},{G},,2.0,[Ability] Trade,,,"You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards."
293,N’s Zoroark ex,JTG,98,Stage 1 Pokémon,Pokémon ex,Trainer's Pokémon（N）,N’s Zorua,280.0,{D},{G},,2.0,Night Joker,{D}{D},,Choose 1 of your Benched N’s Pokémon’s attacks and use it as this attack.
294,N’s Klink,JTG,103,Basic Pokémon,,Trainer's Pokémon（N）,,60.0,{M},{R},{G},1.0,Double Spin,●,10×,Flip 2 coins. This attack does 10 damage for each heads.
295,N’s Klang,JTG,104,Stage 1 Pokémon,,Trainer's Pokémon（N）,N’s Klink,90.0,{M},{R},{G},3.0,Spinning Gears,●,20,Your opponent’s Active Pokémon is now Confused.
295,N’s Klang,JTG,104,Stage 1 Pokémon,,Trainer's Pokémon（N）,N’s Klink,90.0,{M},{R},{G},3.0,Confront,{M}●,40,
296,N’s Klinklang,JTG,105,Stage 2 Pokémon,,Trainer's Pokémon（N）,N’s Klang,160.0,{M},{R},{G},3.0,Magnetic Blast,●,50,
296,N’s Klinklang,JTG,105,Stage 2 Pokémon,,Trainer's Pokémon（N）,N’s Klang,160.0,{M},{R},{G},3.0,Triple Smash,{M}{M}●,120×,Flip 3 coins. This attack does 120 damage for each heads.
297,Magearna,JTG,107,Basic Pokémon,,,,90.0,{M},{R},{G},1.0,[Ability] Auto Heal,,,"As long as this Pokémon is in the Active Spot, whenever you attach an Energy card from your hand to 1 of your Pokémon, heal 90 damage from that Pokémon."
297,Magearna,JTG,107,Basic Pokémon,,,,90.0,{M},{R},{G},1.0,Spike Draw,●,20,Draw 2 cards.
298,Hop’s Corviknight,JTG,108,Stage 2 Pokémon,,Trainer's Pokémon（Hop）,Hop’s Corvisquire,170.0,{M},{L},{F},2.0,Shoot Through,●,50,This attack also does 50 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
298,Hop’s Corviknight,JTG,108,Stage 2 Pokémon,,Trainer's Pokémon（Hop）,Hop’s Corvisquire,170.0,{M},{L},{F},2.0,Steel Wing,{M}{M}●,150,"During your opponent’s next turn, this Pokémon takes 60 less damage from attacks (after applying Weakness and Resistance)."
299,Hop’s Zacian ex,JTG,111,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Hop）,,230.0,{M},{R},{G},2.0,Insta-Strike,●,30,This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
299,Hop’s Zacian ex,JTG,111,Basic Pokémon,Pokémon ex,Trainer's Pokémon（Hop）,,230.0,{M},{R},{G},2.0,Brave Slash,{M}{M}{M}●,240,"During your next turn, this Pokémon can’t use Brave Slash."
300,Bagon,JTG,112,Basic Pokémon,,,,70.0,Dragon,,,2.0,Bite,●,10,
300,Bagon,JTG,112,Basic Pokémon,,,,70.0,Dragon,,,2.0,Reckless Charge,{R}{W},50,This Pokémon also does 10 damage to itself.
301,Shelgon,JTG,113,Stage 1 Pokémon,,,Bagon,100.0,Dragon,,,2.0,Guard Press,●●,30,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
301,Shelgon,JTG,113,Stage 1 Pokémon,,,Bagon,100.0,Dragon,,,2.0,Heavy Impact,{R}{W}●,80,
302,Salamence ex,JTG,114,Stage 2 Pokémon,Pokémon ex,,Shelgon,320.0,Dragon,,,2.0,Wide Blast,{R}●●,,This attack does 50 damage to each of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
302,Salamence ex,JTG,114,Stage 2 Pokémon,Pokémon ex,,Shelgon,320.0,Dragon,,,2.0,Dragon Impact,{R}{W}●●,300,Discard 2 Energy from this Pokémon.
303,N’s Reshiram,JTG,116,Basic Pokémon,,Trainer's Pokémon（N）,,130.0,Dragon,,,2.0,Powerful Rage,{R}{L},20×,This attack does 20 damage for each damage counter on this Pokémon.
303,N’s Reshiram,JTG,116,Basic Pokémon,,Trainer's Pokémon（N）,,130.0,Dragon,,,2.0,Virtuous Flame,{R}{R}{L}●,170,
304,Hop’s Snorlax,JTG,117,Basic Pokémon,,Trainer's Pokémon（Hop）,,150.0,{C},{F},,4.0,[Ability] Extra Helpings,,,Attacks used by your Hop’s Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). The effect of Extra Helpings doesn’t stack.
304,Hop’s Snorlax,JTG,117,Basic Pokémon,,Trainer's Pokémon（Hop）,,150.0,{C},{F},,4.0,Dynamic Press,●●●,140,This Pokémon also does 80 damage to itself.
305,Dunsparce,JTG,120,Basic Pokémon,,,,70.0,{C},{F},,1.0,Trading Places,●,,Switch this Pokémon with 1 of your Benched Pokémon.
305,Dunsparce,JTG,120,Basic Pokémon,,,,70.0,{C},{F},,1.0,Ram,●●,20,
306,Dudunsparce ex,JTG,121,Stage 1 Pokémon,Pokémon ex,,Dunsparce,270.0,{C},{F},,3.0,Tenacious Tail,●,60×,This attack does 60 damage for each of your opponent’s Pokémon {ex} in play.
306,Dudunsparce ex,JTG,121,Stage 1 Pokémon,Pokémon ex,,Dunsparce,270.0,{C},{F},,3.0,Destructive Drill,●●●,150,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
